symbol,datetime,date,time,open,high,low,close,volume
ATCH,2025-12-22 09:30:00,2025-12-22,09:30:00,0.2833,0.2879,0.282299,0.2879,333267
ATCH,2025-12-22 09:35:00,2025-12-22,09:35:00,0.28865,0.2894,0.283699,0.28775,51867
ATCH,2025-12-22 09:40:00,2025-12-22,09:40:00,0.287349,0.2887,0.2867,0.288699,40868
ATCH,2025-12-22 09:45:00,2025-12-22,09:45:00,0.288599,0.291099,0.288599,0.2901,27228
ATCH,2025-12-22 09:50:00,2025-12-22,09:50:00,0.290499,0.294389,0.289923,0.293999,20566
ATCH,2025-12-22 09:55:00,2025-12-22,09:55:00,0.293999,0.2944,0.293399,0.293801,74036
ATCH,2025-12-22 10:00:00,2025-12-22,10:00:00,0.293399,0.294299,0.2933,0.2939,12219
MVST,2025-12-22 09:30:00,2025-12-22,09:30:00,2.97,3.0,2.92,2.970799,220561
MVST,2025-12-22 09:35:00,2025-12-22,09:35:00,2.96,2.99,2.96,2.964999,23681
MVST,2025-12-22 09:40:00,2025-12-22,09:40:00,2.954999,2.99,2.954999,2.984999,35245
MVST,2025-12-22 09:45:00,2025-12-22,09:45:00,2.984999,3.025,2.984999,3.0,33236
MVST,2025-12-22 09:50:00,2025-12-22,09:50:00,3.005,3.049999,2.9955,3.0497,59830
MVST,2025-12-22 09:55:00,2025-12-22,09:55:00,3.049499,3.079999,3.045599,3.055,48183
MVST,2025-12-22 10:00:00,2025-12-22,10:00:00,3.059999,3.079999,3.055,3.0636,244324
NAT,2025-12-22 09:30:00,2025-12-22,09:30:00,3.48,3.569999,3.47,3.525,823790
NAT,2025-12-22 09:35:00,2025-12-22,09:35:00,3.525,3.525,3.46,3.464999,86683
NAT,2025-12-22 09:40:00,2025-12-22,09:40:00,3.4611,3.469899,3.45,3.464999,85217
NAT,2025-12-22 09:45:00,2025-12-22,09:45:00,3.47,3.484999,3.467999,3.474999,54850
NAT,2025-12-22 09:50:00,2025-12-22,09:50:00,3.47,3.494999,3.47,3.484999,36972
NAT,2025-12-22 09:55:00,2025-12-22,09:55:00,3.484999,3.49,3.48,3.484999,18620
NAT,2025-12-22 10:00:00,2025-12-22,10:00:00,3.484999,3.5088,3.4844,3.490099,108367
KOPN,2025-12-22 09:30:00,2025-12-22,09:30:00,2.43,2.46,2.4,2.45,74367
KOPN,2025-12-22 09:35:00,2025-12-22,09:35:00,2.45,2.469899,2.448999,2.448999,78447
KOPN,2025-12-22 09:40:00,2025-12-22,09:40:00,2.44,2.48,2.44,2.48,23240
KOPN,2025-12-22 09:45:00,2025-12-22,09:45:00,2.476399,2.519999,2.476399,2.506799,121519
KOPN,2025-12-22 09:50:00,2025-12-22,09:50:00,2.509999,2.569999,2.509999,2.569999,111970
KOPN,2025-12-22 09:55:00,2025-12-22,09:55:00,2.569999,2.595,2.549999,2.595,48641
KOPN,2025-12-22 10:00:00,2025-12-22,10:00:00,2.599999,2.609999,2.579999,2.5889,70786
OPK,2025-12-22 09:30:00,2025-12-22,09:30:00,1.299999,1.309999,1.289999,1.309999,123545
OPK,2025-12-22 09:35:00,2025-12-22,09:35:00,1.309999,1.32,1.309999,1.309999,79050
OPK,2025-12-22 09:40:00,2025-12-22,09:40:00,1.315,1.32,1.309999,1.32,22046
OPK,2025-12-22 09:45:00,2025-12-22,09:45:00,1.32,1.32,1.309999,1.32,79709
OPK,2025-12-22 09:50:00,2025-12-22,09:50:00,1.32,1.32,1.314,1.32,2331
OPK,2025-12-22 09:55:00,2025-12-22,09:55:00,1.32,1.32,1.315,1.32,606
OPK,2025-12-22 10:00:00,2025-12-22,10:00:00,1.32,1.32,1.315,1.315,9313
TMQ,2025-12-22 09:30:00,2025-12-22,09:30:00,4.71,4.849999,4.63,4.804999,394472
TMQ,2025-12-22 09:35:00,2025-12-22,09:35:00,4.82,4.869999,4.75,4.78,248319
TMQ,2025-12-22 09:40:00,2025-12-22,09:40:00,4.784999,4.889999,4.769999,4.889999,77683
TMQ,2025-12-22 09:45:00,2025-12-22,09:45:00,4.885,4.92,4.86,4.8687,219398
TMQ,2025-12-22 09:50:00,2025-12-22,09:50:00,4.88,4.9099,4.829999,4.908599,160272
TMQ,2025-12-22 09:55:00,2025-12-22,09:55:00,4.9,4.909999,4.86,4.864999,111653
TMQ,2025-12-22 10:00:00,2025-12-22,10:00:00,4.869999,4.909999,4.864999,4.864999,50131
SHLS,2025-12-22 09:30:00,2025-12-22,09:30:00,9.06,9.119999,8.944999,9.079999,156831
