symbol,date,match_score,match_name,entry_price,day_high,day_low,day_close,max_gain,max_loss,final_change,is_win
FCEL,2025-12-23,52.381493003318944,MVIS,8.935799,9.25,8.609999,8.779999,3.5162048743486802,3.6460085997905645,-1.7435486183160487,True
CHPT,2025-12-02,55.37408367430991,CCL,7.724999,8.0,7.635,7.885,3.559883955972028,1.1650357495191987,2.071210624104927,True
CHPT,2025-12-05,78.57472402330899,Benf,10.47,11.01,8.92,10.409999,5.1575931232091605,14.804202483285584,-0.5730754536771874,True
CHPT,2025-12-09,57.12469707347852,MVIS,9.440199,9.8,9.2901,9.46,3.8113709255493546,1.5899982616891775,0.2097519342547871,True
CHPT,2025-12-12,66.85742218533086,VIVK,9.159999,9.2742,8.614999,8.659999,1.2467359439668206,5.949782308928199,-5.458515879750642,False
CHPT,2025-12-18,65.51937128451674,CCL,7.63,7.7388,7.219999,7.324999,1.4259501965924044,5.373538663171694,-3.997391874180863,False
CHPT,2025-12-22,72.1543030080844,MVIS,7.44,7.53,7.269999,7.289999,1.2096774193548367,2.2849596774193555,-2.016142473118286,False
RUN,2025-12-16,63.01170464385964,VIVK,17.69,17.9055,17.049999,17.545,1.2182023742227173,3.6178688524590252,-0.8196721311475386,False
RUN,2025-12-18,66.83083047727023,CCL,18.1933,18.87,17.684999,18.12,3.719501135033228,2.7938911577338876,-0.40289557144662974,True
RUN,2025-12-19,79.91233692023779,CCL,18.313899,18.659999,18.059999,18.25,1.8898214956847796,1.3863787279813984,-0.348909863486739,False
STEM,2025-12-02,57.22813476642258,IOBT,17.12,17.28,16.719999,17.219999,0.9345794392523372,2.3364544392523343,0.5841063084112171,False
STEM,2025-12-04,66.46417349514795,VIVK,17.51,18.805,16.95,18.61,7.395773843517979,3.198172472872657,6.282124500285538,True
STEM,2025-12-08,73.90990383617928,MVIS,18.909999,19.0,17.989999,18.079999,0.4759439701715526,4.865150971187244,-4.389212289223274,False
STEM,2025-12-09,63.79769281825573,VIVK,18.26,19.34,17.9985,18.329999,5.914567360350484,1.4320920043811698,0.3833461117196016,True
STEM,2025-12-11,53.80234464261664,Benf,19.3262,21.959999,18.3887,21.85,13.6281265846364,4.850927756103114,13.058956235576582,True
STEM,2025-12-16,59.23536440630778,CCL,18.1,18.43,16.68,17.489999,1.823204419889493,7.845303867403324,-3.370171270718234,False
STEM,2025-12-23,72.40068629404774,VIVK,16.45,17.0825,16.11,16.514999,3.844984802431613,2.0668693009118533,0.3951306990881474,True
GME,2025-12-01,60.49839358661043,VIVK,22.53,23.065,22.11,22.78,2.374611628939193,1.8641810918775041,1.1096316023080337,True
GME,2025-12-03,52.71997783136326,CCL,23.014999,23.28,22.715,23.219999,1.1514273800316115,1.3034934305232848,0.8907234799358534,False
GME,2025-12-04,62.83345135560737,CCL,23.329999,23.469999,22.645,22.965,0.6000857522539995,2.936129572915975,-1.564504996335409,False
GME,2025-12-08,63.537933993530345,MVIS,23.229999,23.549999,23.02,23.364999,1.3775291165531274,0.903999177959499,0.5811450960458567,False
GME,2025-12-09,53.76695289968353,VIVK,23.35,24.0,23.1,23.17,2.7837259100642333,1.070663811563169,-0.7708779443254805,True
GME,2025-12-10,53.988207329292244,CCL,21.764999,22.469999,21.5,22.11,3.239145565777429,1.2175465755821977,1.5851183820408166,True
GME,2025-12-17,60.929459485810554,CCL,22.486,23.17,22.27,23.02,3.041892733256253,0.9605977052388199,2.3748109935070665,True
GME,2025-12-18,54.98481188205451,MVIS,22.989999,23.099199,22.530099,22.559999,0.4749891463675041,2.0004350587401114,-1.8703785067585244,False
GME,2025-12-24,51.25671268881621,VIVK,21.375,21.569999,21.229999,21.51,0.9122760233918094,0.6783672514619911,0.6315789473684283,False
SNAP,2025-12-01,59.320700584252826,IOBT,7.614999,7.699999,7.489999,7.644999,1.116218137389118,1.641497260866351,0.3939593426079274,False
SNAP,2025-12-05,68.85980593228307,MVIS,7.82,8.0,7.699999,7.905,2.3017902813299194,1.5345396419437372,1.08695652173913,True
SNAP,2025-12-17,73.70006133016487,CCL,7.585,7.75,7.28,7.51,2.1753460777851026,4.021094264996701,-0.9887936717205034,True
SNAP,2025-12-18,52.897331564413946,MVIS,7.664999,7.809999,7.53,7.635,1.8917158371449294,1.761239629646392,-0.39137643723110865,False
